Yenita Agus,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Johan Wahyudi,UIN Syarif Hidayatullah Jakarta
Yuli Amran,"Dosen Kesehatan Masyarakat, UIN Syarif Hidayatullah, Jakarta"
Ibnu Qizam,"Professor, State Islamic University (UIN) Syarif Hidayatullah Jakarta"
Dedek Kustiawati,"Dosen Pendidikan Matematika, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Alysa Yashinta,UIN SYARIF HIDAYATULLAH JAKARTA
"Achmad Syahid, Prof. Dr. Drs. MA",UIN Syarif Hidayatullah Jakarta
Ahmad Thib Raya,UIN Syarif Hidayatullah Jakarta
Akhmad Mahbubi,Department of Agribusiness UIN Syarif Hidayatullah Jakarta
Nani Radiastuti,UIN Syarif Hidayatullah Jakarta
Meinarini UIN Jakarta,UIN Jakarta
Puteri Amelia,Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta
Faizal Arifin,"Sejarah dan Peradaban Islam, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Muhamad Arif,UIN Syarif Hidayatullah Jakarta
Khaeron Sirin,"Dosen Hukum Islam, UIN Syarif Hidayatullah Jakarta"
M. Ikhsan Tanggok,"UIN Syarif ""Hidayatullah"" Jakarta"
Muh. Fudhail Rahman,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Hamka Hasan,UIN Syarif Hidayatullah Jakarta
Zaimudin,Universitas Islam Negeri Syarif Hidayatullah Jakarta
luky aditya try kusuma januar,Uin Jakarta
"Dr. Abd Rozak, MA","Syarif Hidayatullah State Islamic University of Jakarta, Indonesia"
Dewi Utami Iriani,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Muhammad Ishar Helmi,UIN Syarif Hidayatullah Jakarta
Yubaedi Siron,"Universitas Islam Negeri Syarif Hidayatullah, Jakarta"
Taufik Sutanto,UIN Syarif Hidayatullah Jakarta
"Dr. H. Nurochim, MM",State Islamic University (UIN) Syarif Hidayatullah Jakarta
Agus Rimus Liandi,"Departement of Chemistry, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Muhammad Qomarul Huda,"Universitas Islam Negeri Syarif Hidayatullah Jakarta, Department of Information Systems …"
Yuni Anggraeni,Farmasi UIN Syarif Hidayatullah Jakarta
Syamsul Rijal,Professor of Sociology of Islam at UIN Syarif Hidayatullah Jakarta
Iim Halimatusa'diyah,UIN Syarif Hidayatullah Jakarta
Yusraini Dian Inayati Siregar,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ah. Azharuddin Lathif,UIN Syarif Hidayatullah Jakarta
Nur Hidayah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Amany Burhanuddin Lubis,UIN Syarif Hidayatullah Jakarta
Murodi,UIN Syarif Hidayatullah Jakarta
Nafia Wafiqni,UIN Syarif Hidayatullah Jakarta
Yuke Rahmawati (orcid.org/0000-0002-4256-7975),UIN Syarif Hidayatullah Jakarta
Wati Susiawati,UIN Syarif Hidayatullah Jakarta
"Prof. Dr. Darsita Suparno, SS, M.Hum (orcid.org/0000-0002-0097-3246)",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nur Inayah,UIN Syarif Hidayatullah jakarta
Fahma Wijayanti,Universitas Islam Negeri  Syarif Hidayatullah Jakarta
Dasumiati,Doktor Biologi Universitas Islam Negeri Syarif Hidayatullah Jakarta
Frans Sayogie,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ahmad Suryadi,"Physics Education, UIN Syarif Hidayatullah Jakarta"
Asep Ediana Latip,UIN Jakarta
Andrew Fiade,UIN Syarif Hidayatullah Jakarta
Nurhayati Buslim,"UIN Syarif Hidayatullah Jakarta, Sun Moon University Korea, IEEE, Binus University"
Dwi Nur'aini Ihsan,UIN Syarif Hidayatullah Jakarta
Umiyati UIN Jakarta,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Sita Ratnaningsih,UIN Syarif Hidayatullah Jakarta
Zikri Neni Iska,UIN Syarif Hidayatullah Jakarta
Imam Marzuki Shofi,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nengsih Juanengsih,UIN Syarif Hidayatullah Jakarta
Chris Adhiyanto,"State Islamic University, UIN Jakarta"
Zakiya Darojat,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Dr.Ana Sabhana Azmy, M.IP",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Rosa Adelina,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Mohammad Adnan, Lc, LL. M, P.hD (https://orcid.org/0000-0002-4608-9763)",UIN JAKARTA
akhmad sodiq,Doktor Akhlak Tasawuf UIN Jakarta
Ratna Sari Dewi,Universitas Islam Negeri Syarif Hidayatullah Jakarta
siti ummi masruroh,"lecturer of computer science , UIN Jakarta"
Ala'i Nadjib UIN Jakarta,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Tonih Feronika UIN Jakarta,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Didah Nurhamidah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ikhwan Lutfi,UIN Syarif Hidayatullah Jakarta
Badrus Sholeh,Syarif Hidayatullah State Islamic University Jakarta
